E_s,Eind,start,end,a_start,a_end,P*,H*,Yind,phi1,PHI,phi2,l4m1,l12m2,y_calc_segment_start,y_calc_segment_end,ori,batch_no,test_no
241.580988411266,265.47361363875376,1342.0,1382.0,1004.6889358928892,1077.8691373454792,1.9620165689627829,28.15236690017435,2.39526952399647,0.465943210914105,1.02107258892121,0.57959313933434,-0.3537093401058498,0.4495386542624019,2000.0,2200.0,111.0,3.0,7.0
242.15604820434072,266.1055474772975,1352.0,1392.0,1001.3266365729309,1055.5188301713424,2.2713461921799603,19.67755910726124,2.312037726410682,0.187108890434947,1.11696916399316,0.703250683035861,-0.3685249955450694,0.4413297151326525,2000.0,2200.0,111.0,3.0,8.0
242.076536177072,266.01817162315604,1404.0,1434.0,1067.9580437521167,1121.029583855622,2.9676462298012725,28.5402138921018,2.2667018244789303,0.187108918500005,1.11696914260656,0.703250619020093,-0.368524985881419,0.4413297308693338,2000.0,2200.0,111.0,3.0,9.0
242.244008297388,266.2022069202066,1422.0,1462.0,1095.6867040589636,1187.5512628516717,3.745787636522789,23.56356597573645,2.441489944551136,0.187108888801583,1.11696916523784,0.703250686761527,-0.3685249961074873,0.4413297142167954,2000.0,2200.0,111.0,3.0,10.0
242.16408791940347,266.1143823290148,1382.0,1412.0,1074.6601868463772,1119.3906844273963,2.1750239832760023,19.74235249257352,2.3617586481691366,0.187108890226164,1.11696916415226,0.703250683512092,-0.3685249956169604,0.4413297150155844,2000.0,2200.0,111.0,3.0,11.0
242.0633998726084,266.00373612374545,1467.0,1537.0,1215.3537966539925,1383.8454501205458,4.4284926005130165,25.124095008213608,2.3967528770859805,0.187108890305835,1.11696916409154,0.703250683330363,-0.3685249955895314,0.4413297150602733,2000.0,2200.0,111.0,3.0,13.0
241.5841342718176,265.477070628371,1430.0,1500.0,1137.8398436691236,1251.2174842095665,3.4920024554031937,27.7221360480506,2.3387939094070105,0.465943220179874,1.02107258374955,0.579593121599172,-0.3537093312119572,0.449538630975812,1900.0,2300.0,111.0,3.0,15.0
238.76442105158463,262.378484672071,1448.0,1478.0,1216.5289386155516,1257.3393808565295,3.199778647759293,32.0941264936746,2.180926082480728,1.37121165500013,0.923767650218941,0.206498535796802,-0.1540234593811194,-0.3291788630525347,1650.0,1800.0,101.0,2.0,1.0
238.56346717841123,262.1576562400124,1429.0,1459.0,1133.9646363393508,1194.2231918625905,3.426098863011702,17.132443671814038,2.180805000266077,1.37257979526549,0.928881987279947,0.203159383433805,-0.1488023930237417,-0.3301193082973413,1650.0,1800.0,101.0,2.0,3.0
241.6771417573052,265.5792766563793,1365.0,1405.0,1013.9419589576268,1095.209723848987,2.5473011953367024,21.667332905495567,2.4149051133537176,1.36569715395212,0.867150138791722,0.467096413191519,-0.3167693563542877,0.1843577224839784,1950.0,2100.0,101.0,2.0,7.0
237.92511900948247,261.456174735695,1372.0,1422.0,1009.4118848601496,1091.450645009585,2.802490333192786,32.7018969210863,2.194152766870063,1.44221408601243,0.900989147365974,0.150891534684156,-0.1461307057603441,-0.4327559344547566,1950.0,2100.0,101.0,2.0,8.0
237.78215051440856,261.2990664993501,1481.0,1551.0,1208.8526311397052,1379.088039320256,4.382268794408194,20.82255905631375,2.177863117407439,1.44380076855357,0.91254371753391,0.150560239297942,-0.1382931191269358,-0.4232811006590558,1800.0,2000.0,101.0,2.0,9.0
220.9068309215329,242.7547592544317,1450.0,1500.0,1004.7390496744056,1095.8704771433574,5.636232332400214,49.05755643518839,1.9273554763591416,3.421775574,1.44309293172155,0.0292359322051035,0.5921213155756162,0.296789132526798,1550.0,1650.0,100.0,2.0,9.0
221.06650173642348,242.93022168837743,1497.0,1557.0,1025.989753178948,1130.8037639186707,8.610885353372305,61.18971671639217,2.0631778392411886,3.416743752,1.43768454409033,0.0341983522051035,0.5867950041239824,0.2908340379065788,1620.0,1700.0,100.0,2.0,7.0
222.0772960466099,244.04098466660423,1730.0,1760.0,1808.9445821630736,1920.4107613822136,16.57019959651788,57.87701282585444,1.920638843340016,3.69765933396975,1.45859968836008,0.122138201602639,0.5602739865485068,0.2664481059805775,1800.0,2100.0,100.0,2.0,52.0
221.72824896461063,243.6574164446271,1702.0,1732.0,1600.9289796316923,1691.7753546986023,13.424793151899353,253.0941790669604,2.03894358203789,3.69574986361142,1.4608767374091,0.12097522544115,0.562665618808025,0.2688199300269778,1850.0,1950.0,100.0,2.0,54.0
220.3378942259773,242.12955409448057,1528.0,1568.0,1269.3590046655956,1351.4607787277937,7.19019857109146,42.39463374596221,2.033668417463322,3.431976739,1.45361831433374,0.0277001702051034,0.6003820110322621,0.3063070445558116,1800.0,1950.0,100.0,2.0,56.0
220.5244749322424,242.33458783762893,1601.0,1661.0,1534.8704298799275,1684.6338257085197,8.947857474887677,43.33454889817619,2.1389705013765767,3.4248831,1.4487034472378,0.0307817552051035,0.5961666287868425,0.301524579299372,1790.0,1900.0,100.0,2.0,57.0
240.55835554877265,264.3498412623875,776.0,806.0,1443.7720929616992,1557.9212680713288,5.359120286140314,20.53469386867443,2.3402616735582416,6.251814615,1.37475212160461,0.7404876923,-0.213396447671755,-0.2831590142079759,900.0,1050.0,101.0,1.0,5.0
242.3201446490484,266.28587324071253,1403.0,1463.0,1002.3224016650004,1128.3929816678644,3.2780121734566308,28.165484418980505,2.4587479987269303,0.486635075324884,0.953661148850514,0.557140445527826,-0.3614475651357679,0.4214937756898694,2000.0,2350.0,111.0,4.0,2.0
241.7078314479279,265.61300159112955,1481.0,1521.0,1104.732794185894,1226.338099278198,4.869372230036273,31.028055971671044,2.3341732362705687,0.1243110118,1.29100905397484,0.75070365661531,-0.2674078085625703,-0.035556460900528,2000.0,2350.0,111.0,4.0,4.0
241.67798500339111,265.5802033004298,1408.0,1508.0,1008.8225070293367,1210.0014165947828,3.1116892650830685,72.26513684544892,2.3467627673545937,0.465943226172262,1.02107258040493,0.579593110129427,-0.3537093254600646,0.4495386159158256,2000.0,2350.0,111.0,3.0,5.0
241.90518471583297,265.82987331410214,1372.0,1412.0,1053.4721607383738,1095.8170477783794,2.1659979434018792,23.794128461985224,2.450128275607966,0.465943220751282,1.02107258343062,0.579593120505467,-0.3537093306634825,0.4495386295397581,2000.0,2350.0,111.0,3.0,6.0
242.0165564029137,265.9522597834217,1448.0,1528.0,1096.317645639187,1274.0045199486756,4.552669344068924,61.78345672147071,2.348406210352404,0.474679899684201,1.00947121915469,0.616029636262534,-0.3790327380288558,0.5058101935533045,2000.0,2350.0,111.0,2.0,1.0
219.6224646549589,241.343367752702,803.0,843.0,1001.7969683706924,1156.3757102043935,2.2972389588179825,23.778490101772608,2.049962130931756,3.73303209718979,1.52864085783575,0.0849129501795867,0.6176338754674544,0.3265645300230167,900.0,1000.0,100.0,1.0,6.0
240.63131021668912,264.4300112271309,927.0,957.0,1086.7822682584906,1217.2730814542183,3.100172482611298,17.065409849924325,2.183156742394852,6.260690314,1.37351613518328,0.7361667596,-0.2128717744789527,-0.278987297360231,1050.0,1200.0,101.0,1.0,6.0
240.54332330379287,264.3333223118603,708.0,758.0,1112.7578451579866,1300.6861970134196,3.655743365715472,24.29414763995399,2.3579245611220574,6.258735116,1.3739284576923,0.7377861628,-0.2131088335176743,-0.2804209251861032,850.0,950.0,101.0,1.0,7.0
